Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Thumbnail,Sequence,Item Number,Item Description,Item Rev,Qty,Min Qty,Max Qty,Optional,Mut Excl,Ref Des,Item Footprint,BOM Notes,For Documentation,Child Action,Technology,Item Lifecycle,Subclass,BOM Description,REACH Compliance,RoHS Compliance,Encryption,REACH Up To Date,Moisture Sensitivity Level (MSL),Special Assembly Instructions,Single Source,Item P2 Notes,Operation Temperature,Manufacture Part Has Redline,Mfr. Name,Mfr Full Name,Mfr Priority Suffix,Mfr. Lifecycle Phase,Conflict Minerals Status,Mfr. Part Number,Mfr. Part Lifecycle Phase,Packaging Type,Preferred Status,Country of Origin (MP),Last Time Buy,Last Time Ship,Weight (Gram),REACH Up To Date.1,REACH Compliance.1,RoHS Compliance.1,Reference Notes
1,TRUE,TRUE,FALSE,FALSE,,0,90100-0180-F100,"ENIG FINISH PCB for 3201 SW Board, 18LY, 1P",F100-00        ECO-013543,1,,,,,MPB1,,,,Issue,PCB,Pilot,PCB,,,,No,,,,,,-50°C to 130°C,False,SHENNANCIR,SHEN NAN CIRCUITS CORP LTD,,Approved,Yes by Manuf.,90100-0180-F100,Active,each,,,,,0.0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000005-NCN,SFP28-20 PIN SMD CONNECTOR,MCO006538,48,,,,,"J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J60,J61,J62,J63,J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J77,J78,J79,J80,J81,J82,J83",SFPP10G,,,Issue,SMT,Production,Connector,,,,No,,‎1 – Unlimited,,,,-55°C to 85°C,False,ALL-BES,ALL BEST ELECTRONICS CO.LTD,,Approved,Yes by Manuf.,R-SS-009020-3-N-F46,Active,,,Taiwan,,,0.6,,17.SVHC_209_25Jun20,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,NEXTRON,NEXTRONICS ENGINEERING CORP.,,Approved,Yes by Product,Z-85020S01BFB00,Active,T/R 1K,,,,,0.857,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TE,Tyco Electronics ltd,,Approved,Yes by Product,2170088-1,Active,,,Philippines,,,1.054205,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000025,Cage QSFP28 Style A 1X4 PF H/S No Rear Pins,MCO002968,1,,,,,J84,Cage-QSFP-1x4-PF-900P-6114X7650X1370-25,,,Issue,Press Fit,Pilot,Connector,,,,No,,,,Y,,-20°C to 105°C,False,TE,Tyco Electronics ltd,,Approved,Yes by Product,2170745-4,Active,,,China,,,46.196424,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000027-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TE,Tyco Electronics ltd,,Approved,Yes by Product,1551920-2,Active,T/R 400,Preferred,Philippines,,,1.135345,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000227,Con HeaderM 2x5  2.54mm Shrouded SMD,SPR001434,2,,,,,"J9,J10",Con-HeaderM-SM-P254-2002x859x1041-10,,,Issue,SMT,Pilot,Connector,,,,No,,‎1 – Unlimited,,NO,,0°C to 70°C,False,3M,3M MATERIAL TECHNOLOGIES,,Approved,Not Conflict Free,N2510-6V0C-RB-WD,Active,Pack 200,,,,,2.003,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000449,Con HeaderM 1x3 TH 2.54  Ver 5.08/5.84 select Au,SPR002514,3,,,,,"J1,J2,J7",Con-HEADER-TH-254P-762x254x854-3,,,Issue,SMT,Pilot,Connector,,,,No,,‎1 – Unlimited,,,,-40°C to 105°C,False,SAMTEC,SAMTECH CONNECTOR COMPANY,,Approved,Yes by Manuf.,TSW-103-08-F-S,Active,T&R 1K,Preferred,United States;Singapore;Malaysia,,,0.19813,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000638,"CONN Receptacle VER 5P+30S+5P, 7.7mm SMT",SPR003528,2,,,,,"J44,J45",CON-SM-80P4110X660X830-40,,,Issue,SMT,Pilot,Connector,,,,No,,‎1 – Unlimited,,,,0°C to 85°C,False,AMPHENOL,AMPHENOL CANADA INC.,,Approved,Yes by Product,10159559-A30221RLF,Active,T&R,,China,,,0.0,,26.SVHC_242_07Nov2024,RoHS3 with Exemptions,
